City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,maunabo,18.0072,-65.8993,306.55,80,50,4.52,PR,1683567165
161,zyryanskoye,56.8306,86.6258,288.51,47,50,3.82,RU,1683567165
162,nyurba,63.2842,118.3319,263.89,92,62,2.12,RU,1683567165
163,tanjung pinang,0.9167,104.45,299.17,76,100,2.06,ID,1683567165
164,laguna,38.421,-121.4238,290.42,61,100,3.6,US,1683566553
165,georgetown,5.4112,100.3354,303.12,78,20,2.06,MY,1683566624
166,al ghayzah,16.2079,52.176,301.55,59,0,3.07,YE,1683567166
167,nogliki,51.8333,143.1667,271.92,90,97,2.69,RU,1683566664
168,al bawiti,28.3492,28.8659,296.35,33,0,4.16,EG,1683567167
169,talcahuano,-36.7167,-73.1167,285.97,67,0,4.63,CL,1683567124
170,klaksvik,62.2266,-6.589,282.66,99,98,6.37,FO,1683567167
171,mineiros,-17.5694,-52.5511,300.75,45,11,2.41,BR,1683567167
172,tocopilla,-22.092,-70.1979,292.63,81,5,5.97,CL,1683567168
173,kerikeri,-35.2268,173.9474,293.1,95,100,3.58,NZ,1683566905
174,jamestown,42.097,-79.2353,292.33,55,0,2.57,US,1683566673
175,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,70,75,1.0,RU,1683566748
176,punta arenas,-53.15,-70.9167,281.21,71,0,4.12,CL,1683566662
177,bhattiprolu,16.1,80.7833,303.03,73,99,3.07,IN,1683567169
178,bethanie,-26.4833,17.15,293.15,29,0,2.99,NA,1683567169
179,pasighat,28.0667,95.3333,293.63,70,9,2.26,IN,1683567169
180,flying fish cove,-10.4217,105.6791,299.97,89,75,3.6,CX,1683566640
181,utrik,11.2278,169.8474,300.17,82,96,7.46,MH,1683566472
182,thompson,55.7435,-97.8558,293.24,30,40,2.57,CA,1683566532
183,qui nhon,13.7667,109.2333,299.04,93,100,1.36,VN,1683567171
184,deoria,26.5047,83.7872,306.11,21,8,3.86,IN,1683567171
185,howrah,22.5892,88.3103,306.15,62,20,3.09,IN,1683566651
186,bilibino,68.0546,166.4372,262.86,97,97,1.26,RU,1683566647
187,sangin,32.0728,64.8359,297.14,11,0,1.19,AF,1683567172
188,baranchinskiy,58.1617,59.6991,274.01,62,70,2.12,RU,1683567172
189,san antonio de pale,-1.4014,5.6325,301.83,75,70,4.44,GQ,1683566642
190,kiunga,-6.1219,141.2906,296.66,100,100,0.2,PG,1683567173
191,tura,25.5198,90.2201,298.88,30,0,1.73,IN,1683566711
192,villa gesell,-37.2639,-56.973,291.51,59,86,9.2,AR,1683567173
193,vytegra,61.0064,36.4481,278.18,73,90,3.05,RU,1683567173
194,susuman,62.7833,148.1667,269.72,90,96,1.7,RU,1683566817
195,yamada,39.4667,141.95,276.18,87,2,3.05,JP,1683567174
196,ellsworth,44.5434,-68.4195,291.46,40,20,4.47,US,1683566942
197,lata,40.1629,-8.3327,295.33,50,84,5.0,PT,1683566862
198,sabha,27.0377,14.4283,304.49,12,98,4.32,LY,1683567175
199,san luis de la loma,17.2706,-100.8939,305.66,47,0,3.48,MX,1683566947
